food_id,food_name,category,subcategory,region,serving_size,calories_kcal,protein_g,carbohydrates_g,fat_g,fiber_g,free_sugar_g,sodium_mg,calcium_mg,iron_mg,vitamin_c_mg,folate_ug,source
IND-0034,Salami sandwich,Indian Food,,India,Source basis not specified,255.59,8.7,21.54,15.51,1.97,2.0,662.75,73.54,1.11,1.25,12.65,Indian Food Nutrition dataset provided by user
IND-0035,Vegetable and mayonnaise sandwich,Indian Food,,India,Source basis not specified,244.26,4.47,23.2,15.4,2.35,2.35,342.7,79.53,0.91,12.9,17.05,Indian Food Nutrition dataset provided by user
IND-0036,Egg and tomato sandwich (Ande aur tamatar ka sandwich),Indian Food,,India,Source basis not specified,222.11,7.66,25.9,10.51,1.77,2.09,423.26,95.71,1.3,1.98,16.33,Indian Food Nutrition dataset provided by user
IND-0037,Sweet open sandwich,Indian Food,,India,Source basis not specified,244.25,4.99,39.24,8.15,2.36,12.23,205.27,85.18,1.15,1.65,13.05,Indian Food Nutrition dataset provided by user
IND-0038,Mushroom and cheese sandwich (toasted),Indian Food,,India,Source basis not specified,227.42,7.79,21.01,13.01,2.28,2.11,456.57,172.35,0.84,0.0,12.7,Indian Food Nutrition dataset provided by user
IND-0039,Cheese and tomato sandwich (toasted) (Cheese aur tamatar ke sandwich (toasted)),Indian Food,,India,Source basis not specified,224.58,6.82,21.42,12.95,1.78,2.67,457.94,169.22,0.82,6.32,14.48,Indian Food Nutrition dataset provided by user
IND-0040,Pea potato sandwich (toasted) (Matar aloo ka sandwich),Indian Food,,India,Source basis not specified,164.9,4.6,25.17,5.43,2.89,1.33,262.63,64.15,1.11,14.11,21.01,Indian Food Nutrition dataset provided by user
IND-0041,Paneer pea sandwich (toasted) (Paneer matar ka sandwich),Indian Food,,India,Source basis not specified,249.56,12.4,24.05,11.98,2.12,6.4,268.9,274.1,1.26,4.85,52.13,Indian Food Nutrition dataset provided by user
IND-0042,Chicken sandwich (toasted),Indian Food,,India,Source basis not specified,167.37,12.08,18.82,5.32,1.64,2.13,327.55,99.99,0.99,12.97,20.71,Indian Food Nutrition dataset provided by user
IND-0043,Pea keema sandwich (toasted) (Matar aur keema ka sandwich),Indian Food,,India,Source basis not specified,171.78,11.06,20.26,5.61,2.45,1.94,290.07,70.79,1.51,5.5,18.29,Indian Food Nutrition dataset provided by user
IND-0044,Classic club sandwich,Indian Food,,India,Source basis not specified,200.83,6.74,18.49,11.56,1.62,1.86,277.49,107.73,1.09,16.19,56.9,Indian Food Nutrition dataset provided by user
IND-0045,Sesame toast,Indian Food,,India,Source basis not specified,495.19,1.9,11.15,49.38,1.32,1.46,128.78,43.44,0.72,6.92,8.87,Indian Food Nutrition dataset provided by user
IND-0046,Cracked wheat porridge (Meetha daliya),Indian Food,,India,Source basis not specified,81.57,2.64,8.87,4.08,0.62,5.12,15.89,75.88,0.32,5.03,17.58,Indian Food Nutrition dataset provided by user
IND-0047,Semolina porridge (Suji/Rava daliya),Indian Food,,India,Source basis not specified,100.89,3.75,12.39,4.08,0.7,7.54,23.21,108.52,0.36,5.03,22.71,Indian Food Nutrition dataset provided by user
IND-0048,Oatmeal Porridge,Indian Food,,India,Source basis not specified,72.85,2.6,8.77,3.22,0.39,5.2,16.14,76.83,0.28,5.03,23.98,Indian Food Nutrition dataset provided by user
IND-0049,Cornflakes with milk,Indian Food,,India,Source basis not specified,117.33,3.59,14.95,5.12,0.78,9.97,26.55,106.47,0.42,4.82,43.87,Indian Food Nutrition dataset provided by user
IND-0050,Rice flakes (Chiwda/Aval),Indian Food,,India,Source basis not specified,112.44,3.62,15.57,3.99,0.37,7.28,22.4,103.15,0.62,4.82,19.41,Indian Food Nutrition dataset provided by user
IND-0051,Wheat flakes,Indian Food,,India,Source basis not specified,112.44,3.62,15.57,3.99,0.37,7.28,22.4,103.15,0.62,4.82,19.41,Indian Food Nutrition dataset provided by user
IND-0052,Murmura (Puffed rice),Indian Food,,India,Source basis not specified,113.32,3.62,15.67,4.04,0.28,7.31,22.52,103.79,0.63,4.82,16.87,Indian Food Nutrition dataset provided by user
IND-0053,Puffed wheat (Murmure/Moori),Indian Food,,India,Source basis not specified,113.32,3.62,15.67,4.04,0.28,7.31,22.52,103.79,0.63,4.82,16.87,Indian Food Nutrition dataset provided by user
IND-0054,Boiled egg (Ubla anda),Indian Food,,India,Source basis not specified,45.35,4.43,0.12,3.04,0.11,0.0,170.94,17.75,0.64,0.0,24.77,Indian Food Nutrition dataset provided by user
IND-0055,Fried Egg,Indian Food,,India,Source basis not specified,223.67,11.59,0.31,19.62,0.29,0.0,446.96,46.4,1.69,0.0,24.77,Indian Food Nutrition dataset provided by user
IND-0056,Poached egg,Indian Food,,India,Source basis not specified,123.87,11.98,0.37,8.19,0.3,0.05,1163.07,48.24,1.75,0.0,24.77,Indian Food Nutrition dataset provided by user
IND-0057,Scrambled egg (Ande ki bhurji),Indian Food,,India,Source basis not specified,155.97,10.29,1.35,12.21,0.24,1.08,374.66,64.59,1.42,0.3,25.82,Indian Food Nutrition dataset provided by user
IND-0058,Baked egg,Indian Food,,India,Source basis not specified,218.85,11.88,15.42,12.65,1.03,1.66,523.29,164.05,1.48,0.0,35.72,Indian Food Nutrition dataset provided by user
IND-0059,Plain omelette/omlet,Indian Food,,India,Source basis not specified,272.41,9.66,0.64,25.74,0.12,0.51,226.18,48.4,1.35,0.3,50.48,Indian Food Nutrition dataset provided by user
IND-0060,Stuffed egg omelette/omlet,Indian Food,,India,Source basis not specified,203.51,8.6,2.3,17.77,0.75,1.57,267.19,89.91,0.91,8.29,70.23,Indian Food Nutrition dataset provided by user
IND-0061,Pancake,Indian Food,,India,Source basis not specified,203.36,5.68,20.49,10.82,0.65,3.32,143.7,79.49,0.69,0.5,5.43,Indian Food Nutrition dataset provided by user
IND-0062,Keema pancake,Indian Food,,India,Source basis not specified,176.27,9.01,9.56,11.25,0.84,2.2,125.4,40.96,0.93,4.64,12.23,Indian Food Nutrition dataset provided by user
IND-0063,Vegetable pancake,Indian Food,,India,Source basis not specified,125.18,3.87,12.24,6.57,2.48,2.09,116.69,42.89,0.79,20.63,28.57,Indian Food Nutrition dataset provided by user
IND-0064,Jam and fruit pancake,Indian Food,,India,Source basis not specified,162.02,3.79,20.73,7.01,1.21,7.85,93.09,54.06,0.52,6.48,8.42,Indian Food Nutrition dataset provided by user
IND-0065,Khoa and coconut pancake,Indian Food,,India,Source basis not specified,271.98,6.98,27.32,15.29,1.65,16.47,101.0,157.22,1.12,0.73,19.12,Indian Food Nutrition dataset provided by user
IND-0066,Brown stock,Indian Food,,India,Source basis not specified,21.32,1.95,0.25,1.38,0.09,0.14,44.6,17.16,0.3,1.5,6.33,Indian Food Nutrition dataset provided by user
IND-0067,Vegetable stock,Indian Food,,India,Source basis not specified,17.6,0.3,0.96,1.38,0.38,0.44,49.75,5.08,0.12,7.58,13.92,Indian Food Nutrition dataset provided by user
IND-0068,Chicken stock,Indian Food,,India,Source basis not specified,29.88,3.69,0.37,1.51,0.1,0.2,58.58,3.57,0.18,0.84,10.19,Indian Food Nutrition dataset provided by user
IND-0069,Clear tomato soup (Tamatar ka soup),Indian Food,,India,Source basis not specified,80.07,4.79,3.45,12.22,1.96,1.44,5135.74,29.05,1.14,53.16,43.91,Indian Food Nutrition dataset provided by user
IND-0070,Lentil soup,Indian Food,,India,Source basis not specified,31.17,9.65,3.94,11.68,2.57,1.06,10418.84,40.57,2.26,17.9,34.92,Indian Food Nutrition dataset provided by user
IND-0071,Chicken consomme (Clear chicken soup),Indian Food,,India,Source basis not specified,47.94,11.47,1.19,12.02,1.57,0.54,8953.64,35.48,1.82,2.1,11.38,Indian Food Nutrition dataset provided by user
IND-0072,Cream of tomato soup,Indian Food,,India,Source basis not specified,97.81,4.61,3.93,13.12,1.38,1.81,4461.22,39.61,0.95,53.23,44.01,Indian Food Nutrition dataset provided by user
IND-0073,Cream of green peas soup,Indian Food,,India,Source basis not specified,127.84,7.13,6.75,14.78,2.95,1.61,4999.7,51.01,1.48,52.28,88.58,Indian Food Nutrition dataset provided by user
IND-0074,Cream of spinach soup,Indian Food,,India,Source basis not specified,100.54,5.21,3.45,13.31,1.74,1.13,4429.81,70.77,2.1,63.34,298.06,Indian Food Nutrition dataset provided by user
IND-0075,Cream of mixed vegetable soup,Indian Food,,India,Source basis not specified,59.65,6.84,4.93,9.05,2.14,2.1,5655.45,65.26,1.36,39.02,54.46,Indian Food Nutrition dataset provided by user
IND-0076,Cream of mushroom soup,Indian Food,,India,Source basis not specified,117.28,6.64,3.74,15.5,1.34,1.93,5276.06,70.56,1.81,5.79,30.72,Indian Food Nutrition dataset provided by user
IND-0077,Chicken sweet corn soup,Indian Food,,India,Source basis not specified,28.32,14.48,1.63,12.59,0.47,0.27,12205.33,91.5,3.83,2.02,13.45,Indian Food Nutrition dataset provided by user
IND-0078,Minestrone soup,Indian Food,,India,Source basis not specified,42.66,9.3,3.71,11.09,1.92,1.01,8875.06,53.55,1.82,19.43,23.24,Indian Food Nutrition dataset provided by user
IND-0079,Egg drop soup,Indian Food,,India,Source basis not specified,26.64,12.93,1.1,13.52,0.81,0.6,12418.84,100.14,3.93,8.51,28.19,Indian Food Nutrition dataset provided by user
IND-0080,Chinese cabbage and meat ball soup,Indian Food,,India,Source basis not specified,484.31,5.21,1.43,56.57,0.57,0.37,4249.41,41.07,1.52,16.72,20.33,Indian Food Nutrition dataset provided by user
IND-0081,French onion soup,Indian Food,,India,Source basis not specified,55.61,11.41,4.28,14.39,1.01,1.5,11202.89,106.22,3.52,5.35,24.85,Indian Food Nutrition dataset provided by user
IND-0082,Hot and sour soup,Indian Food,,India,Source basis not specified,31.51,3.12,1.78,1.31,0.6,0.66,163.26,10.68,0.43,24.59,39.83,Indian Food Nutrition dataset provided by user
IND-0083,Talaumein soup,Indian Food,,India,Source basis not specified,35.63,10.12,4.17,12.78,1.94,0.77,11088.14,42.33,2.23,12.62,48.58,Indian Food Nutrition dataset provided by user
IND-0084,Cold cucumber soup (Thanda kheere ka soup),Indian Food,,India,Source basis not specified,48.03,2.99,4.58,1.99,0.88,3.34,121.32,99.79,0.32,5.05,27.42,Indian Food Nutrition dataset provided by user
IND-0085,Cold summer garden soup,Indian Food,,India,Source basis not specified,49.19,8.57,2.65,14.08,1.86,0.46,9919.62,43.93,2.13,16.3,43.26,Indian Food Nutrition dataset provided by user
IND-0086,Chapati/Roti,Indian Food,,India,Source basis not specified,202.31,5.88,35.65,3.56,6.31,1.0,1.16,17.22,2.28,0.0,5.84,Indian Food Nutrition dataset provided by user
IND-0087,Plain parantha/paratha,Indian Food,,India,Source basis not specified,298.3,5.06,30.69,16.86,5.43,0.86,62.07,14.81,1.98,0.0,7.79,Indian Food Nutrition dataset provided by user
IND-0088,Potato parantha/paratha (Aloo ka parantha/paratha),Indian Food,,India,Source basis not specified,205.04,3.7,23.92,10.22,4.18,1.15,127.2,17.38,1.52,7.98,14.96,Indian Food Nutrition dataset provided by user
IND-0089,Radish parantha/paratha (Mooli ka parantha/paratha),Indian Food,,India,Source basis not specified,183.52,3.3,20.54,9.53,4.32,1.31,127.03,23.75,1.39,8.44,20.74,Indian Food Nutrition dataset provided by user
IND-0090,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),Indian Food,,India,Source basis not specified,178.07,3.73,18.84,9.47,4.68,1.15,190.03,22.0,1.59,17.61,26.32,Indian Food Nutrition dataset provided by user
IND-0091,Dal parantha/paratha,Indian Food,,India,Source basis not specified,268.24,6.78,30.03,13.05,6.46,1.43,156.13,23.89,2.45,1.8,29.02,Indian Food Nutrition dataset provided by user
IND-0092,Sprouted moong parantha/paratha,Indian Food,,India,Source basis not specified,228.59,4.29,24.31,12.43,4.49,1.47,153.94,20.33,1.94,2.0,12.52,Indian Food Nutrition dataset provided by user
IND-0093,Pea parantha/paratha (Matar ka parantha/paratha),Indian Food,,India,Source basis not specified,190.73,5.59,21.51,8.8,5.61,1.29,109.99,23.49,1.78,17.8,33.64,Indian Food Nutrition dataset provided by user
IND-0094,Keema parantha/paratha,Indian Food,,India,Source basis not specified,238.09,9.41,18.36,13.91,3.44,0.99,140.62,19.35,1.8,1.8,11.49,Indian Food Nutrition dataset provided by user
IND-0095,Paneer parantha/paratha,Indian Food,,India,Source basis not specified,262.97,7.98,24.33,14.62,4.0,3.77,142.52,127.65,1.7,1.69,29.0,Indian Food Nutrition dataset provided by user
IND-0096,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),Indian Food,,India,Source basis not specified,216.49,5.54,21.39,12.09,4.39,1.31,177.19,33.07,1.85,6.65,50.53,Indian Food Nutrition dataset provided by user
IND-0097,Poori,Indian Food,,India,Source basis not specified,737.63,1.35,8.22,77.61,1.46,0.23,31.73,3.98,0.6,0.0,4.68,Indian Food Nutrition dataset provided by user
IND-0098,Spinach poori (Palak poori),Indian Food,,India,Source basis not specified,684.25,1.42,7.76,71.86,1.55,0.24,35.47,10.02,0.79,3.03,18.9,Indian Food Nutrition dataset provided by user
IND-0099,Methi poori,Indian Food,,India,Source basis not specified,710.02,1.45,7.98,74.6,1.61,0.26,35.37,14.61,0.81,2.91,8.47,Indian Food Nutrition dataset provided by user
IND-0100,Dal stuffed poori,Indian Food,,India,Source basis not specified,785.16,2.08,10.14,81.69,1.96,0.29,128.18,6.88,0.83,0.42,7.65,Indian Food Nutrition dataset provided by user
IND-0101,Potato stuffed poori (Aloo ki poori),Indian Food,,India,Source basis not specified,776.74,1.52,9.4,81.35,1.64,0.26,69.86,5.57,0.7,1.39,5.63,Indian Food Nutrition dataset provided by user
IND-0102,Tandoori parantha/paratha,Indian Food,,India,Source basis not specified,295.37,5.08,30.74,16.51,5.44,0.86,1.14,14.98,1.96,0.0,7.79,Indian Food Nutrition dataset provided by user
IND-0103,Boiled rice (Uble chawal),Indian Food,,India,Source basis not specified,117.19,2.6,25.72,0.18,1.25,0.22,1.05,2.7,0.24,0.0,9.75,Indian Food Nutrition dataset provided by user
IND-0104,Plain pulao,Indian Food,,India,Source basis not specified,140.21,2.34,21.82,4.62,1.69,1.15,193.76,12.76,0.41,3.42,22.63,Indian Food Nutrition dataset provided by user
IND-0105,Mixed vegetable pulao,Indian Food,,India,Source basis not specified,113.05,2.72,17.49,3.33,2.67,1.35,187.92,19.61,0.6,26.15,80.63,Indian Food Nutrition dataset provided by user
IND-0106,Mushroom pulao,Indian Food,,India,Source basis not specified,124.29,2.52,19.02,4.03,1.88,1.0,222.36,13.54,0.39,3.42,26.77,Indian Food Nutrition dataset provided by user
IND-0107,Sprouted moong pulao,Indian Food,,India,Source basis not specified,112.97,2.19,17.49,3.61,1.78,1.43,153.16,16.26,0.65,7.53,43.15,Indian Food Nutrition dataset provided by user
IND-0108,Paneer pulao,Indian Food,,India,Source basis not specified,581.91,1.98,8.76,59.81,0.62,1.11,72.28,33.09,0.26,3.42,69.28,Indian Food Nutrition dataset provided by user
IND-0109,Peanut pulao,Indian Food,,India,Source basis not specified,193.28,5.32,21.18,9.51,2.9,1.6,168.4,18.52,0.83,3.42,68.06,Indian Food Nutrition dataset provided by user
IND-0110,Navratan pulao,Indian Food,,India,Source basis not specified,261.71,6.2,36.98,9.45,3.82,2.52,334.26,59.61,1.1,12.89,46.97,Indian Food Nutrition dataset provided by user
IND-0111,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),Indian Food,,India,Source basis not specified,173.43,4.88,27.57,4.82,3.15,2.48,170.05,18.94,0.95,5.43,301.13,Indian Food Nutrition dataset provided by user
IND-0112,Mutton biryani/biriyani,Indian Food,,India,Source basis not specified,190.76,7.38,22.5,7.72,2.42,2.39,262.64,68.58,1.29,10.28,30.07,Indian Food Nutrition dataset provided by user
IND-0113,Vegetable biryani/biriyani,Indian Food,,India,Source basis not specified,174.61,3.16,18.56,9.51,3.31,2.14,183.79,33.52,0.86,39.35,77.54,Indian Food Nutrition dataset provided by user
IND-0114,"Lemon rice (Pulihora, Elumichai sadam, Chitranna)",Indian Food,,India,Source basis not specified,176.3,4.26,21.62,7.88,2.52,0.78,187.11,12.7,0.77,10.2,38.01,Indian Food Nutrition dataset provided by user
IND-0115,Sweet rice (Meethe chawal),Indian Food,,India,Source basis not specified,215.41,2.1,42.59,4.57,1.13,24.8,3.2,11.38,0.34,0.21,10.65,Indian Food Nutrition dataset provided by user
IND-0116,Curd rice (Dahi bhaat/Dahi chawal/ Perugu annam/Daddojanam/Thayir saadam),Indian Food,,India,Source basis not specified,195.74,5.75,32.93,4.32,2.13,3.91,213.29,101.52,0.59,5.1,28.24,Indian Food Nutrition dataset provided by user
IND-0117,Tamarind rice (Chintapandu pulihora/Puliyodharai/Puli sadam/Huli anna),Indian Food,,India,Source basis not specified,373.04,7.45,65.08,8.53,5.12,11.65,162.41,50.94,2.89,0.84,23.02,Indian Food Nutrition dataset provided by user
IND-0118,Spanish rice,Indian Food,,India,Source basis not specified,164.24,4.19,31.1,2.23,2.78,1.26,96.61,18.93,0.92,48.66,54.48,Indian Food Nutrition dataset provided by user
IND-0119,Chinese fried rice,Indian Food,,India,Source basis not specified,120.58,4.05,13.4,5.43,2.31,1.47,248.36,34.7,0.99,67.39,136.83,Indian Food Nutrition dataset provided by user
IND-0120,Macroni cheese pie,Indian Food,,India,Source basis not specified,170.63,5.85,21.1,7.48,0.4,3.4,200.51,122.01,0.54,14.65,28.19,Indian Food Nutrition dataset provided by user
IND-0121,Vegetable chowmein,Indian Food,,India,Source basis not specified,129.71,3.07,15.44,6.36,1.86,1.97,258.47,28.33,0.99,85.39,99.36,Indian Food Nutrition dataset provided by user
IND-0122,Chicken chowmein,Indian Food,,India,Source basis not specified,151.33,6.33,13.3,8.23,1.64,1.63,288.15,26.1,0.89,84.96,102.27,Indian Food Nutrition dataset provided by user
IND-0123,Cheese noodle ring,Indian Food,,India,Source basis not specified,133.67,6.22,13.96,6.12,1.27,2.84,241.96,99.3,0.79,24.19,94.77,Indian Food Nutrition dataset provided by user
IND-0124,Spaghetti and cheese balls in tomato sauce,Indian Food,,India,Source basis not specified,508.32,2.41,7.82,52.08,0.59,1.83,104.14,40.59,0.32,57.67,115.96,Indian Food Nutrition dataset provided by user
IND-0125,Penne platter,Indian Food,,India,Source basis not specified,177.4,5.04,20.87,8.71,1.09,4.5,283.37,67.67,0.9,16.35,60.2,Indian Food Nutrition dataset provided by user
IND-0126,Pasta hot pot,Indian Food,,India,Source basis not specified,125.17,5.84,11.6,6.47,0.8,5.99,231.17,55.28,0.82,58.74,111.3,Indian Food Nutrition dataset provided by user
IND-0127,Chicken lasagne,Indian Food,,India,Source basis not specified,187.49,10.45,13.9,10.36,0.11,2.74,238.55,119.98,0.64,4.23,61.02,Indian Food Nutrition dataset provided by user
IND-0128,Fettuccine with spinach sauce,Indian Food,,India,Source basis not specified,129.21,3.1,12.19,7.83,0.77,1.18,153.59,53.67,1.28,38.37,170.92,Indian Food Nutrition dataset provided by user
IND-0129,Naan,Indian Food,,India,Source basis not specified,286.45,8.05,51.75,4.99,1.91,5.59,326.11,88.01,1.29,0.23,7.56,Indian Food Nutrition dataset provided by user
IND-0130,Bhatura,Indian Food,,India,Source basis not specified,793.2,1.63,10.73,82.56,0.38,0.69,28.3,12.12,0.33,0.05,4.15,Indian Food Nutrition dataset provided by user
IND-0131,Idli,Indian Food,,India,Source basis not specified,137.54,4.64,28.18,0.33,2.31,0.28,100.83,8.0,0.68,0.0,2.95,Indian Food Nutrition dataset provided by user
IND-0132,Masala dosa,Indian Food,,India,Source basis not specified,164.58,3.29,19.57,7.84,2.52,1.33,191.28,15.58,0.79,14.14,35.76,Indian Food Nutrition dataset provided by user
IND-0133,Semolina dosa (Suji/Rava dosa),Indian Food,,India,Source basis not specified,227.05,7.3,32.84,7.12,4.04,4.37,202.36,116.04,1.39,2.28,15.86,Indian Food Nutrition dataset provided by user
IND-0134,Onion tomato uttapam,Indian Food,,India,Source basis not specified,462.02,1.91,11.32,45.3,1.26,0.8,143.53,5.82,0.36,4.78,11.68,Indian Food Nutrition dataset provided by user
IND-0135,Paneer kaathi roll,Indian Food,,India,Source basis not specified,285.94,6.92,20.1,19.55,2.4,3.29,221.03,101.66,1.42,18.67,54.04,Indian Food Nutrition dataset provided by user
IND-0136,Makki ki roti,Indian Food,,India,Source basis not specified,263.97,3.49,24.19,16.85,5.19,0.7,236.22,14.76,1.11,1.99,10.72,Indian Food Nutrition dataset provided by user
IND-0137,Washed moong dal (Dhuli moong ki dal),Indian Food,,India,Source basis not specified,50.0,2.68,5.91,1.68,1.17,0.12,150.64,8.48,0.64,0.04,27.98,Indian Food Nutrition dataset provided by user
IND-0138,Washed urad dal (Dhuli urad ki dal),Indian Food,,India,Source basis not specified,61.32,2.51,5.84,2.98,1.53,0.32,142.21,10.24,0.72,0.99,30.4,Indian Food Nutrition dataset provided by user
IND-0139,Split bengal gram with bottle gourd (Channa dal with ghiya/lauki),Indian Food,,India,Source basis not specified,73.25,2.79,7.1,3.6,2.72,1.05,149.47,14.33,0.99,15.2,90.42,Indian Food Nutrition dataset provided by user
